pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469182562,Sledgehammer_lambdas/fta/fta0126.pfho.p,8265564,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.144,298.621,536992,--,UNK-Non,Non,UNK,,
469182382,Sledgehammer_lambdas/fta/fta0127.pfho.p,8265504,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,10.0713,10.2333,231608,Theorem,THM-Prf,Prf,THM,,
469182208,Sledgehammer_lambdas/fta/fta0128.pfho.p,8265446,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.16739,0.388662,119288,Theorem,THM-Prf,Prf,THM,,
469182466,Sledgehammer_lambdas/fta/fta0129.pfho.p,8265532,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.17794,0.421061,119288,Theorem,THM-Prf,Prf,THM,,
469182622,Sledgehammer_lambdas/fta/fta0130.pfho.p,8265584,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.17342,0.418898,119288,Theorem,THM-Prf,Prf,THM,,
469182364,Sledgehammer_lambdas/fta/fta0131.pfho.p,8265498,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,43.0835,43.0018,282920,Theorem,THM-Prf,Prf,THM,,
469182460,Sledgehammer_lambdas/fta/fta0132.pfho.p,8265530,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.123,298.141,826144,--,UNK-Non,Non,UNK,,
469182187,Sledgehammer_lambdas/fta/fta0133.pfho.p,8265439,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.273912,0.436674,119288,Theorem,THM-Prf,Prf,THM,,
469182892,Sledgehammer_lambdas/fta/fta0134.pfho.p,8265674,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.389074,0.563411,192456,Theorem,THM-Prf,Prf,THM,,
469182070,Sledgehammer_lambdas/fta/fta0135.pfho.p,8265400,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.01,298.59,703332,--,UNK-Non,Non,UNK,,
469182733,Sledgehammer_lambdas/fta/fta0136.pfho.p,8265621,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.7298,1.95012,196804,Theorem,THM-Prf,Prf,THM,,
469181938,Sledgehammer_lambdas/fta/fta0137.pfho.p,8265356,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.058,298.536,761284,--,UNK-Non,Non,UNK,,
469182040,Sledgehammer_lambdas/fta/fta0138.pfho.p,8265390,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.66765,1.82335,209088,Theorem,THM-Prf,Prf,THM,,
